filepath,label
adware_imali\VirusShare_61f50bf85ae3a7dac5b4287b4fece477.png,3
dridex_trojan\VirusShare_344b7fd42b0b11863ae223af3b8865b5.png,15
pua_syncopate\VirusShare_576715251e6452d179e01796339baaf2.png,30
dridex_trojan\VirusShare_70871e9409a3c18ffd16df94e9c228c7.png,15
virlock_virus\VirusShare_a699f6a3e510b8499ef3477dd2ab56c0.png,41
antifw_trojan\VirusShare_7ad80a0ac0fa1c6bd70c8e12edfeb96f.png,10
emotet_trojan\VirusShare_b571efbad755a4445f5804f01e4dc370.png,17
adware_multiplug\VirusShare_271337e0fd34b29fb10435a6eaf602a8.png,4
adware_multiplug\VirusShare_dec702cf2e2bf5d798d7f98177965cc5.png,4
trojan_unruy\VirusShare_2018723154d75448190fb542d79df20a.png,37
adware_trojan\VirusShare_f5f20fd494f47ebac1c0cdf02e05ea20.png,8
dridex_trojan\VirusShare_9e524518f5dfb7d70a4e4b516d60d009.png,15
loadmoney_trojan\VirusShare_d028d6cb7d27972ed9746fef2b3d7f71.png,24
downloader_trojan\VirusShare_7e08adbbc804f974042a44d002a95bfb.png,14
allaple_worm\VirusShare_a7b2dd1aa58d6f16ac739775856c69e0.png,9
adware_imali\VirusShare_838e1617f45b922b3973cafbcbacca0c.png,3
msil_trojan\VirusShare_45f59c64430010c1b335c227049410bb.png,25
adware_multiplug\VirusShare_a5decdb7dbf97284840adeb4eb70f23b.png,4
dridex_trojan\VirusShare_040c7e380c8c13fd3abcc5b96706e439.png,15
emotet_trojan\VirusShare_0491cbac32e418d71bfd68da49ff336b.png,17
expiro_virus\VirusShare_57978a5c3cce4cf399fe32670a7081fc.png,18
emotet_trojan\VirusShare_57cb6255a5bc898988ceae3304e8dca1.png,17
installrex_trojan\VirusShare_459b183857f8e5e159e21c76a3685d66.png,22
adware_pua\VirusShare_45643a960fd4fa9bda98844c740febee.png,6
dridex_trojan\VirusShare_88d84488981c16589f9e4d3ba130dc23.png,15
emotet_trojan\VirusShare_436ce1d5ddb3a4bd5f36ebb8b5be8adb.png,17
allaple_worm\VirusShare_a285bab13ead5f025567cd7a2c878400.png,9
ransom_trojan\VirusShare_50f1aa26f702d375d54e7bffa392538f.png,33
trojan_virus\VirusShare_3f2242004a81f4d6ffbaa0a43836610f.png,38
adware_outbrowse\VirusShare_74c948f81ef2680ed3acf5cb7eee01cc.png,5
dridex_trojan\VirusShare_98edb888915404e2b5ee17d40bd0cb3d.png,15
adware_multiplug\VirusShare_f8e589062a599cba69db41d2fab195e1.png,4
emotet_trojan\VirusShare_d7c97f35b25ce309debb8e9e7210f397.png,17
adware_multiplug\VirusShare_ac17c3cb34678b7f287ff2682b3dd187.png,4
emotet_trojan\VirusShare_1ebb0b5bc7384720b146486a042ce946.png,17
downloader_trojan\VirusShare_7c0991ef60a45dcf234bab68ae22447a.png,14
antifw_trojan\VirusShare_26ca6aaf556ce7708fdea6a04ec6a69f.png,10
emotet_trojan\VirusShare_1ade9b7c055a1e87f0ff91b572b0cdbb.png,17
adware_imali\VirusShare_ea4e2c1c657b8c8c96f348a3a9dde35e.png,3
dridex_trojan\VirusShare_bad30f10829eb9f32fb3edda100b7116.png,15
expiro_virus\VirusShare_e385c84ff7263e5e400935b4f4dab04b.png,18
ransom_trojan\VirusShare_c3294b372bd925a64a106caa15975c42.png,33
inbox_pua\VirusShare_97ef18e363f18cc16e2cbf4a7ef4d98e.png,21
emotet_trojan\VirusShare_77c9c5de282ced5d766f98d786c310cf.png,17
msil_trojan\VirusShare_8464dcb77fbb8673efd019a034131670.png,25
emotet_trojan\VirusShare_21b82f78cdce70a73083cede772a62f9.png,17
emotet_trojan\VirusShare_008c34333c697cd5553a8773f264bc29.png,17
emotet_trojan\VirusShare_5b25ba6567fb636e68ace3889822fca4.png,17
adware_multiplug\VirusShare_317eb776c8e26b3cffbf53726572763f.png,4
ransom_trojan\VirusShare_50f5b2338b11f941e4b8c0cb788ea288.png,33
emotet_trojan\VirusShare_39dff14be6f58ec73d9d12b2055651c1.png,17
dridex_trojan\VirusShare_ee72e00876c264bf5a2cbbdab4bc3e04.png,15
expiro_virus\VirusShare_8c099dc073566df9eea87203993600e8.png,18
emotet_trojan\VirusShare_baadd430d4ef9416b0d7075f12fe68c9.png,17
trojan_unruy\VirusShare_011ade2606708792c5b1fae9a7000157.png,37
startpage_trojan\VirusShare_fcc19ff857fa488705cf7b6271078509.png,36
emotet_trojan\VirusShare_ac96ebc6e3c73073e1c38338ff70b71e.png,17
dridex_trojan\VirusShare_b93f2d454e00582b9f5fee08d86614f7.png,15
adware_multiplug\VirusShare_a1cc8cff5ba989ad9ea2f21206dbd8eb.png,4
adware_softpulse\VirusShare_a16d1c4d7e9410497482acee499a84b7.png,7
playtech_pua\VirusShare_c7ca43ba009674a0685c522bc19a1889.png,27
adware_multiplug\VirusShare_49dd8e8e38d2339c11984125253d9c80.png,4
gandcrab_trojan\VirusShare_9f0fcfe7a2ab3c74585c29a87fa1d557.png,20
expiro_virus\VirusShare_3ce20ac9d61dea94b6fc9f72adc4e45c.png,18
msil_trojan\VirusShare_048845694c4a88143123c18100d40ab0.png,25
dridex_trojan\VirusShare_357cce53b35be17e075b14111ced28a9.png,15
ransom_trojan\VirusShare_0ef40ccaf4040a804c184ea2ff943246.png,33
adware_imali\VirusShare_88c415341f2597b3f8d63cc0c6b9740b.png,3
expiro_virus\VirusShare_a8a4a52609ac2e3fc076c4aa7d14be35.png,18
emotet_trojan\VirusShare_07da1a09d585c590513ee1d61458053f.png,17
ransom_trojan\VirusShare_2c2073eca52bc64eeddc322b2305e173.png,33
ransom_trojan\VirusShare_0e49ff17a37e88bc05ec89f63872e88a.png,33
pua_toolbar\VirusShare_4afa47bc5e714bf0bff27904b2b82153.png,31
expiro_virus\VirusShare_91a20b6495b49a7fdaba37efd3abead5.png,18
backdoor_trojan\VirusShare_01988422eff5e3f0817fdacb02556ce0.png,13
adware_domaiq\VirusShare_4182709f49683519cae9e6f2fb10debe.png,1
emotet_trojan\VirusShare_e05f0998d98390b7c7bd5bed9102635e.png,17
expiro_virus\VirusShare_9ac661472d55688b07eb8f64dd917f92.png,18
msil_trojan\VirusShare_dc219176ab4dbfe010e06cb844c1c066.png,25
autorun_worm\VirusShare_b76ca47e4c04690b3550d2292ffce840.png,12
dridex_trojan\VirusShare_a09c106d41e7925bf5d2b63af3f571b2.png,15
dridex_trojan\VirusShare_febe1c7f01e7a9d94fa866e7879e474a.png,15
